CODPRO;NOMEPRO;DESCPROCORTAM;ESTPROCORTAM;PRCOMPRAPRO;PRVENDAPRO;DTCADPRO;;;
114.785;VESTIDO FEM LONGO VELUDO BORDADO CJ FAIXA PATBO;PRETO - 42;1;1.241,67;2.980,00;03.06.2019;; R$ 1.241,67 ;2980
114.761;VESTIDO FEM CURTO PEROLAS PATBO;PRETO - 38;1;745,83;1.789,99;29.05.2019;; R$ 745,83 ;1789,99
114.761;VESTIDO FEM CURTO PEROLAS PATBO;PRETO - 40;1;745,83;1.789,99;29.05.2019;; R$ 745,83 ;1789,99
114.761;VESTIDO FEM CURTO PEROLAS PATBO;ROXO - 36;1;745,83;1.789,99;29.05.2019;; R$ 745,83 ;1789,99
112.901;BRACELETE FEM PEDRAS ZORAH DONAIRE;DOURADO - UN;1;336;808,99;08.12.2018;; R$ 336,00 ;808,99
114.789;CASACO FEM ML BORDADO FLORES PATBO;OFF WHITE - 36;1;1.091,67;2.620,00;04.06.2019;; R$ 1.091,67 ;2620
114.791;VESTIDO FEM MID ML BORBOLETAS  BOTOES PATBO;PRETO - 36;1;1.241,67;2.980,00;04.06.2019;; R$ 1.241,67 ;2980
114.791;VESTIDO FEM MID ML BORBOLETAS  BOTOES PATBO;PRETO - 38;1;1.241,67;2.980,00;04.06.2019;; R$ 1.241,67 ;2980
114.791;VESTIDO FEM MID ML BORBOLETAS  BOTOES PATBO;PRETO - 40;1;1.241,67;2.980,00;04.06.2019;; R$ 1.241,67 ;2980
114.791;VESTIDO FEM MID ML BORBOLETAS  BOTOES PATBO;PRETO - 44;1;1.241,67;2.980,00;04.06.2019;; R$ 1.241,67 ;2980
114.791;VESTIDO FEM MID ML BORBOLETAS  BOTOES PATBO;AZUL - 36;2;1.241,67;2.980,00;04.06.2019;; R$ 2.483,34 ;5960
114.791;VESTIDO FEM MID ML BORBOLETAS  BOTOES PATBO;AZUL - 38;2;1.241,67;2.980,00;04.06.2019;; R$ 2.483,34 ;5960
114.791;VESTIDO FEM MID ML BORBOLETAS  BOTOES PATBO;AZUL - 40;1;1.241,67;2.980,00;04.06.2019;; R$ 1.241,67 ;2980
114.791;VESTIDO FEM MID ML BORBOLETAS  BOTOES PATBO;AZUL - 42;1;1.241,67;2.980,00;04.06.2019;; R$ 1.241,67 ;2980
114.791;VESTIDO FEM MID ML BORBOLETAS  BOTOES PATBO;AZUL - 44;1;1.241,67;2.980,00;04.06.2019;; R$ 1.241,67 ;2980
114.792;VESTIDO FEM LONGO BORDADO FLORES PATRICIA BONALDI;ROSA - 36;1;3.250,00;7.885,15;04.06.2019;; R$ 3.250,00 ;7885,15
106.517;CALCA FEM FLARE COURO C/SANFONA LIZIANE RICHTER;NUDI - 40;1;882;1.949,04;02.08.2017;; R$ 882,00 ;1949,04
