Variant Barcode,Handle,Vendor,Option2 Value,Option1 Value,Variant Price,Variant Inventory Qty
'105380,tenis-camurca-cano-medio-ellus,ELLUS,MARINHO,39,144.5,1.0
'109090,bota-salto-alto-schutz,0,PRETO,36,156.0,1.0
'109090,bota-salto-alto-schutz,0,PRETO,38,156.0,1.0
'109090,bota-salto-alto-schutz,Schutz,PRETO,34,156.0,1.0
'109090,bota-salto-alto-schutz,0,PRETO,40,156.0,1.0
'109090,bota-salto-alto-schutz,0,PRETO,39,156.0,1.0
'112584,sapatenis-couro-e-tecido-democrata,DEMOCRATA,PRETO,38,107.6,1.0
'112584,sapatenis-couro-e-tecido-democrata,0,CAFÈ,38,107.6,1.0
'112584,sapatenis-couro-e-tecido-democrata,0,PRETO,39,107.6,1.0
'112584,sapatenis-couro-e-tecido-democrata,0,CAFÈ,39,107.6,3.0
'112584,sapatenis-couro-e-tecido-democrata,0,CAFÈ,40,107.6,2.0
'112584,sapatenis-couro-e-tecido-democrata,0,PRETO,41,107.6,2.0
'112584,sapatenis-couro-e-tecido-democrata,0,CAFÈ,41,107.6,1.0
'112584,sapatenis-couro-e-tecido-democrata,0,PRETO,42,107.6,1.0
'112584,sapatenis-couro-e-tecido-democrata,0,CAFÈ,42,107.6,0.0
'112584,sapatenis-couro-e-tecido-democrata,0,PRETO,43,107.6,1.0
'112584,sapatenis-couro-e-tecido-democrata,0,CAFÈ,43,107.6,1.0
'112584,sapatenis-couro-e-tecido-democrata,0,PRETO,40,107.6,0.0
'113148,calca-jeans-st-slim-raw-elastic-couro,0,PRETO,42,339.0,2.0
'113148,calca-jeans-st-slim-raw-elastic-couro,0,JEANS,40,339.0,1.0
'113148,calca-jeans-st-slim-raw-elastic-couro,ELLUS,PRETO,38,339.0,1.0
'113148,calca-jeans-st-slim-raw-elastic-couro,0,PRETO,44,339.0,1.0
'113148,calca-jeans-st-slim-raw-elastic-couro,0,JEANS,44,339.0,0.0
'113148,calca-jeans-st-slim-raw-elastic-couro,0,PRETO,40,339.0,2.0
'113148,calca-jeans-st-slim-raw-elastic-couro,0,JEANS,42,339.0,0.0
'113148,calca-jeans-st-slim-raw-elastic-couro,0,JEANS,38,339.0,0.0
'113152,t-shirt-masculina-e-asa,ELLUS,MARINHO,P,99.0,1.0
'113152,t-shirt-masculina-e-asa,0,CINZA,P,99.0,0.0
'113152,t-shirt-masculina-e-asa,0,CIMENTO,P,99.0,1.0
'113152,t-shirt-masculina-e-asa,0,MARINHO,M,99.0,1.0
'113152,t-shirt-masculina-e-asa,0,CINZA,M,99.0,1.0
'113152,t-shirt-masculina-e-asa,0,CIMENTO,M,99.0,0.0
'113152,t-shirt-masculina-e-asa,0,BRANCO,XGG,99.0,1.0
'113152,t-shirt-masculina-e-asa,0,MARINHO,G,99.0,1.0
'113152,t-shirt-masculina-e-asa,0,CIMENTO,XGG,99.0,0.0
'113152,t-shirt-masculina-e-asa,0,CINZA,XGG,99.0,0.0
'113152,t-shirt-masculina-e-asa,0,MARINHO,XGG,99.0,0.0
'113152,t-shirt-masculina-e-asa,0,BRANCO,GG,99.0,1.0
'113152,t-shirt-masculina-e-asa,0,CIMENTO,GG,99.0,0.0
'113152,t-shirt-masculina-e-asa,0,BRANCO,M,99.0,0.0
'113152,t-shirt-masculina-e-asa,0,BRANCO,P,99.0,1.0
'113152,t-shirt-masculina-e-asa,0,CINZA,GG,99.0,0.0
'113152,t-shirt-masculina-e-asa,0,MARINHO,GG,99.0,0.0
'113152,t-shirt-masculina-e-asa,0,BRANCO,G,99.0,0.0
'113152,t-shirt-masculina-e-asa,0,CIMENTO,G,99.0,0.0
'113152,t-shirt-masculina-e-asa,0,CINZA,G,99.0,0.0
'113310,camisa-binada,0,VINHO,G,349.0,1.0
'113310,camisa-binada,0,VINHO,GG,349.0,0.0
